Año,Trimestre,Provincia,Accesos por cada 100 hogares,KPI_Aumento_Acceso,Cumple_Meta_2%,Año_Trimestre
2014,1,Buenos Aires,54.5700728794398,,False,2014-T1
2014,2,Buenos Aires,55.0614169514339,0.9003910863003842,False,2014-T2
2014,3,Buenos Aires,56.754739164071,3.0753335209856094,True,2014-T3
2014,4,Buenos Aires,56.0943365301975,-1.1636079094018075,False,2014-T4
2015,1,Buenos Aires,56.3704843302674,0.49229176624852355,False,2015-T1
2015,2,Buenos Aires,56.8028056143921,0.7669284542452791,False,2015-T2
2015,3,Buenos Aires,57.6886810560801,1.5595628281141567,False,2015-T3
2015,4,Buenos Aires,58.2918218273372,1.0455097260254218,False,2015-T4
2016,1,Buenos Aires,57.3359078225411,-1.6398767011049278,False,2016-T1
2016,2,Buenos Aires,59.3385267910581,3.4927832218428505,True,2016-T2
2016,3,Buenos Aires,60.1432954546882,1.3562329689509118,False,2016-T3
2016,4,Buenos Aires,61.2365874303569,1.8178118897598183,False,2016-T4
2017,1,Buenos Aires,58.5740024492033,-4.348029654953752,False,2017-T1
2017,2,Buenos Aires,56.2721441616913,-3.9298292608708465,False,2017-T2
2017,3,Buenos Aires,55.6293833953396,-1.14223613819442,False,2017-T3
2017,4,Buenos Aires,57.6096152902582,3.559686938907346,True,2017-T4
2018,1,Buenos Aires,62.6262116616845,8.707915069647429,True,2018-T1
2018,2,Buenos Aires,62.7822665109499,0.2491845588687882,False,2018-T2
2018,3,Buenos Aires,64.4405675975205,2.6413526919761177,True,2018-T3
2018,4,Buenos Aires,64.6028466348432,0.2518274487218341,False,2018-T4
2019,1,Buenos Aires,66.2425552273681,2.5381367508355726,True,2019-T1
2019,2,Buenos Aires,67.847139823742,2.4222866869588433,True,2019-T2
2019,3,Buenos Aires,69.3563010607913,2.22435498529474,True,2019-T3
2019,4,Buenos Aires,64.2520528824542,-7.3594584778435514,False,2019-T4
2020,1,Buenos Aires,64.3256310174343,0.11451483910516838,False,2020-T1
2020,2,Buenos Aires,65.2205801358229,1.3912791903215618,False,2020-T2
2020,3,Buenos Aires,67.6561898309092,3.734418936498423,True,2020-T3
2020,4,Buenos Aires,68.9770222017074,1.9522712912141689,False,2020-T4
